Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Andy,Headspace: Unwind Your Mind,countdown_interrupted,,false,android,2021-09-26 19:18:44
Andy,Headspace: Unwind Your Mind,countdown_complete,,false,android,2021-09-26 19:18:31
Guest,Ranveer vs Wild with Bear Grylls,countdown_complete,,true,tvui,2022-07-19 13:29:05
Guest,Ranveer vs Wild with Bear Grylls,countdown_interrupted,,false,tvui,2022-07-19 13:10:54
Guest,Ranveer vs Wild with Bear Grylls,countdown_interrupted,,false,tvui,2022-07-19 13:07:14
Guest,Ranveer vs Wild with Bear Grylls,countdown_interrupted,,false,tvui,2022-07-19 13:01:21
Guest,Ranveer vs Wild with Bear Grylls,countdown_complete,,false,tvui,2022-07-12 17:31:03
Guest,Ranveer vs Wild with Bear Grylls,countdown_interrupted,,false,tvui,2022-07-12 17:30:32
Guest,Ranveer vs Wild with Bear Grylls,countdown_complete,,false,tvui,2022-07-12 17:24:27
